productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extDescription,extUPC,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
605103,Quarter Century Stampede Booster Box,Quarter Century Stampede Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/605103_200w.jpg,2,23891,https://cpt.tcgcsv.com/53S6,2024-12-18T19:39:57.777,1,"Last Call for Quarter Century Secret Rares! Coming in April, Quarter Century Stampede will be your last chance to get some of your all-time favorite cards as Quarter Century Secret Rares before this spectacular, shining rarity is gone forever. This direct successor to Quarter Century Bonanza uses its same set and pack configuration, including a core set of more than 80 tournament-level cards, another massive 200-card nostalgia reprint pool, and a guaranteed Luxury Secret Rare per pack, etc.
<br><br>But this time, the nostalgia pool includes picks from our recent online poll asking Duelists which cards THEY want to see as Quarter Century Secret Rares. Quarter Century Stampede, along with Alliance Insight (releasing a few weeks later), will be the LAST releases to include Quarter Century Secret Rares. Get ‘em while you can!",083717867463,129.99,129.99,179.99,,,Normal
605104,Quarter Century Stampede Booster Pack,Quarter Century Stampede Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/605104_200w.jpg,2,23891,https://cpt.tcgcsv.com/63S6,2024-12-18T19:40:33.82,1,"Last Call for Quarter Century Secret Rares! Coming in April, Quarter Century Stampede will be your last chance to get some of your all-time favorite cards as Quarter Century Secret Rares before this spectacular, shining rarity is gone forever. This direct successor to Quarter Century Bonanza uses its same set and pack configuration, including a core set of more than 80 tournament-level cards, another massive 200-card nostalgia reprint pool, and a guaranteed Luxury Secret Rare per pack, etc.
<br><br>But this time, the nostalgia pool includes picks from our recent online poll asking Duelists which cards THEY want to see as Quarter Century Secret Rares. Quarter Century Stampede, along with Alliance Insight (releasing a few weeks later), will be the LAST releases to include Quarter Century Secret Rares. Get ‘em while you can!",083717867456,,,,,,
